"date","conf","status1","s1","s1zz"
"1993-01-31","","Normal value",24.5,
"1993-02-28","","Normal value",24.5,
"1993-03-31","","Normal value",24.5,
"1993-04-30","","Normal value",24.38,
"1993-05-31","","Normal value",23.88,
"1993-06-30","","Normal value",23.38,
"1993-07-31","","Normal value",22.88,
"1993-08-31","","Normal value",22.25,
"1993-09-30","","Normal value",22.25,
"1993-10-31","","Normal value",22.25,
"1993-11-30","","Normal value",22.25,
"1993-12-31","","Normal value",22.25,
"1994-01-31","","Normal value",22,
"1994-02-28","","Normal value",21.25,
"1994-03-31","","Normal value",20.38,
"1994-04-30","","Normal value",20,
"1994-05-31","","Normal value",20.38,
"1994-06-30","","Normal value",20.75,
"1994-07-31","","Normal value",21.13,
"1994-08-31","","Normal value",21.5,
"1994-09-30","","Normal value",21.5,
"1994-10-31","","Normal value",20.67,
"1994-11-30","","Normal value",19.83,
"1994-12-31","","Normal value",19,
"1995-01-31","","Normal value",19,
"1995-02-28","","Normal value",18.5,
"1995-03-31","","Normal value",18.25,
"1995-04-30","","Normal value",18,
"1995-05-31","","Normal value",17.58,
"1995-06-30","","Normal value",17.24,
"1995-07-31","","Normal value",16.72,
"1995-08-31","","Normal value",16.19,
"1995-09-30","","Normal value",15.72,
"1995-10-31","","Normal value",15.56,
"1995-11-30","","Normal value",15.4,
"1995-12-31","","Normal value",15.35,
"1996-01-31","","Normal value",15.3,
"1996-02-29","","Normal value",15.3,
"1996-03-31","","Normal value",14.9,
"1996-04-30","","Normal value",14.8,
"1996-05-31","","Normal value",14.87,
"1996-06-30","","Normal value",14.95,
"1996-07-31","","Normal value",14.61,
"1996-08-31","","Normal value",14.46,
"1996-09-30","","Normal value",14.23,
"1996-10-31","","Normal value",14,
"1996-11-30","","Normal value",13.36,
"1996-12-31","","Normal value",12.42,
"1997-01-31","","Normal value",12.29,
"1997-02-28","","Normal value",10.87,
"1997-03-31","","Normal value",9.45,
"1997-04-30","","Normal value",9.33,
"1997-05-31","","Normal value",8.92,
"1997-06-30","","Normal value",9.15,
"1997-07-31","","Normal value",9.42,
"1997-08-31","","Normal value",9.63,
"1997-09-30","","Normal value",9.43,
"1997-10-31","","Normal value",9.3,
"1997-11-30","","Normal value",10.76,
"1997-12-31","","Normal value",10.48,
"1998-01-31","","Normal value",11.03,
"1998-02-28","","Normal value",11.04,
"1998-03-31","","Normal value",9.27,
"1998-04-30","","Normal value",8.11,
"1998-05-31","","Normal value",7.85,
"1998-06-30","","Normal value",7.74,
"1998-07-31","","Normal value",7.67,
"1998-08-31","","Normal value",7.56,
"1998-09-30","","Normal value",8.25,
"1998-10-31","","Normal value",8.45,
"1998-11-30","","Normal value",7.65,
"1998-12-31","","Normal value",7.17,
"1999-01-31","","Normal value",6.32,
"1999-02-28","","Normal value",5.96,
"1999-03-31","","Normal value",5.97,
"1999-04-30","","Normal value",5.85,
"1999-05-31","","Normal value",5.75,
"1999-06-30","","Normal value",6.02,
"1999-07-31","","Normal value",6.37,
"1999-08-31","","Normal value",6.66,
"1999-09-30","","Normal value",6.64,
"1999-10-31","","Normal value",7.03,
"1999-11-30","","Normal value",6.61,
"1999-12-31","","Normal value",6.39,
"2000-01-31","","Normal value",6.6,
"2000-02-29","","Normal value",6.48,
"2000-03-31","","Normal value",6.24,
"2000-04-30","","Normal value",6.09,
"2000-05-31","","Normal value",6.18,
"2000-06-30","","Normal value",6.06,
"2000-07-31","","Normal value",6.08,
"2000-08-31","","Normal value",6.04,
"2000-09-30","","Normal value",6.05,
"2000-10-31","","Normal value",5.97,
"2000-11-30","","Normal value",5.87,
"2000-12-31","","Normal value",5.54,
"2001-01-31","","Normal value",5.35,
"2001-02-28","","Normal value",5.35,
"2001-03-31","","Normal value",5.28,
"2001-04-30","","Normal value",5.39,
"2001-05-31","","Normal value",5.54,
"2001-06-30","","Normal value",5.48,
"2001-07-31","","Normal value",5.51,
"2001-08-31","","Normal value",5.33,
"2001-09-30","","Normal value",5.31,
"2001-10-31","","Normal value",5.07,
"2001-11-30","","Normal value",4.9,
"2001-12-31","","Normal value",5.13,
"2002-01-31","","Normal value",5.24,
"2002-02-28","","Normal value",5.31,
"2002-03-31","","Normal value",5.5,
"2002-04-30","","Normal value",5.51,
"2002-05-31","","Normal value",5.52,
"2002-06-30","","Normal value",5.37,
"2002-07-31","","Normal value",5.21,
"2002-08-31","","Normal value",4.95,
"2002-09-30","","Normal value",4.73,
"2002-10-31","","Normal value",4.79,
"2002-11-30","","Normal value",4.76,
"2002-12-31","","Normal value",4.58,
"2003-01-31","","Normal value",4.43,
"2003-02-28","","Normal value",4.24,
"2003-03-31","","Normal value",4.26,
"2003-04-30","","Normal value",4.38,
"2003-05-31","","Normal value",4.02,
"2003-06-30","","Normal value",3.81,
"2003-07-31","","Normal value",4.12,
"2003-08-31","","Normal value",4.29,
"2003-09-30","","Normal value",4.32,
"2003-10-31","","Normal value",4.38,
"2003-11-30","","Normal value",4.51,
"2003-12-31","","Normal value",4.45,
"2004-01-31","","Normal value",4.37,
"2004-02-29","","Normal value",4.35,
"2004-03-31","","Normal value",4.17,
"2004-04-30","","Normal value",4.35,
"2004-05-31","","Normal value",4.49,
"2004-06-30","","Normal value",4.55,
"2004-07-31","","Normal value",4.44,
"2004-08-31","","Normal value",4.28,
"2004-09-30","","Normal value",4.22,
"2004-10-31","","Normal value",4.11,
"2004-11-30","","Normal value",3.97,
"2004-12-31","","Normal value",3.77,
"2005-01-31","","Normal value",3.69,
"2005-02-28","","Normal value",3.69,
"2005-03-31","","Normal value",3.92,
"2005-04-30","","Normal value",3.76,
"2005-05-31","","Normal value",3.6,
"2005-06-30","","Normal value",3.44,
"2005-07-31","","Normal value",3.46,
"2005-08-31","","Normal value",3.47,
"2005-09-30","","Normal value",3.3,
"2005-10-31","","Normal value",3.45,
"2005-11-30","","Normal value",3.67,
"2005-12-31","","Normal value",3.57,
"2006-01-31","","Normal value",3.6,
"2006-02-28","","Normal value",3.77,
"2006-03-31","","Normal value",3.95,
"2006-04-30","","Normal value",4.23,
"2006-05-31","","Normal value",4.3,
"2006-06-30","","Normal value",4.31,
"2006-07-31","","Normal value",4.33,
"2006-08-31","","Normal value",4.19,
"2006-09-30","","Normal value",4.06,
"2006-10-31","","Normal value",4.08,
"2006-11-30","","Normal value",3.98,
"2006-12-31","","Normal value",4.04,
"2007-01-31","","Normal value",4.28,
"2007-02-28","","Normal value",4.3,
"2007-03-31","","Normal value",4.2,
"2007-04-30","","Normal value",4.4,
"2007-05-31","","Normal value",4.51,
"2007-06-30","","Normal value",4.8,
"2007-07-31","","Normal value",4.79,
"2007-08-31","","Normal value",4.62,
"2007-09-30","","Normal value",4.56,
"2007-10-31","","Normal value",4.58,
"2007-11-30","","Normal value",4.43,
"2007-12-31","","Normal value",4.53,
"2008-01-31","","Normal value",4.4,
"2008-02-29","","Normal value",4.36,
"2008-03-31","","Normal value",4.42,
"2008-04-30","","Normal value",4.54,
"2008-05-31","","Normal value",4.74,
"2008-06-30","","Normal value",5.17,
"2008-07-31","","Normal value",5.15,
"2008-08-31","","Normal value",4.87,
"2008-09-30","","Normal value",4.88,
"2008-10-31","","Normal value",4.93,
"2008-11-30","","Normal value",5.09,
"2008-12-31","","Normal value",5.08,
"2009-01-31","","Normal value",5.6,
"2009-02-28","","Normal value",5.7,
"2009-03-31","","Normal value",5.87,
"2009-04-30","","Normal value",5.5,
"2009-05-31","","Normal value",5.22,
"2009-06-30","","Normal value",5.33,
"2009-07-31","","Normal value",4.89,
"2009-08-31","","Normal value",4.52,
"2009-09-30","","Normal value",4.56,
"2009-10-31","","Normal value",4.57,
"2009-11-30","","Normal value",4.84,
"2009-12-31","","Normal value",5.49,
"2010-01-31","","Normal value",6.02,
"2010-02-28","","Normal value",6.46,
"2010-03-31","","Normal value",6.24,
"2010-04-30","","Normal value",7.83,
"2010-05-31","","Normal value",7.97,
"2010-06-30","","Normal value",9.1,
"2010-07-31","","Normal value",10.34,
"2010-08-31","","Normal value",10.7,
"2010-09-30","","Normal value",11.34,
"2010-10-31","","Normal value",9.57,
"2010-11-30","","Normal value",11.52,
"2010-12-31","","Normal value",12.01,
"2011-01-31","","Normal value",11.73,
"2011-02-28","","Normal value",11.4,
"2011-03-31","","Normal value",12.44,
"2011-04-30","","Normal value",13.86,
"2011-05-31","","Normal value",15.94,
"2011-06-30","","Normal value",16.69,
"2011-07-31","","Normal value",16.15,
"2011-08-31","","Normal value",15.9,
"2011-09-30","","Normal value",17.78,
"2011-10-31","","Normal value",18.04,
"2011-11-30","","Normal value",17.92,
"2011-12-31","","Normal value",21.14,
"2012-01-31","","Normal value",25.91,
"2012-02-29","","Normal value",29.24,
"2012-03-31","","Normal value",19.07,
"2012-04-30","","Normal value",21.48,
"2012-05-31","","Normal value",26.9,
"2012-06-30","","Normal value",27.82,
"2012-07-31","","Normal value",25.82,
"2012-08-31","","Normal value",24.34,
"2012-09-30","","Normal value",20.91,
"2012-10-31","","Normal value",17.96,
"2012-11-30","","Normal value",17.2,
"2012-12-31","","Normal value",13.33,
"2013-01-31","","Normal value",11.1,
"2013-02-28","","Normal value",10.95,
"2013-03-31","","Normal value",11.38,
"2013-04-30","","Normal value",11.58,
"2013-05-31","","Normal value",9.07,
"2013-06-30","","Normal value",10.07,
"2013-07-31","","Normal value",10.53,
"2013-08-31","","Normal value",10.01,
"2013-09-30","","Normal value",10.15,
"2013-10-31","","Normal value",8.74,
"2013-11-30","","Normal value",8.41,
"2013-12-31","","Normal value",8.66,
"2014-01-31","","Normal value",8.18,
"2014-02-28","","Normal value",7.7,
"2014-03-31","","Normal value",6.9,
"2014-04-30","","Normal value",6.2,
"2014-05-31","","Normal value",6.38,
"2014-06-30","","Normal value",5.93,
"2014-07-31","","Normal value",6.1,
"2014-08-31","","Normal value",6.09,
"2014-09-30","","Normal value",5.89,
"2014-10-31","","Normal value",7.26,
"2014-11-30","","Normal value",8.1,
"2014-12-31","","Normal value",8.42,
"2015-01-31","","Normal value",9.48,
"2015-02-28","","Normal value",9.72,
"2015-03-31","","Normal value",10.52,
"2015-04-30","","Normal value",12,
"2015-05-31","","Normal value",10.95,
"2015-06-30","","Normal value",11.43,
"2015-07-31","","Missing value; data cannot exist",,1
"2015-08-31","","Normal value",10.26,
"2015-09-30","","Normal value",8.54,
"2015-10-31","","Normal value",7.81,
"2015-11-30","","Normal value",7.41,
"2015-12-31","","Normal value",8.21,
"2016-01-31","","Normal value",9.08,
"2016-02-29","","Normal value",10.41,
"2016-03-31","","Normal value",9.12,
"2016-04-30","","Normal value",9.03,
"2016-05-31","","Normal value",7.64,
"2016-06-30","","Normal value",7.92,
"2016-07-31","","Normal value",7.99,
"2016-08-31","","Normal value",8.19,
"2016-09-30","","Normal value",8.34,
"2016-10-31","","Normal value",8.33,
"2016-11-30","","Normal value",7.33,
"2016-12-31","","Normal value",6.94,
"2017-01-31","","Normal value",7.04,
"2017-02-28","","Normal value",7.52,
"2017-03-31","","Normal value",7.17,
"2017-04-30","","Normal value",6.7,
"2017-05-31","","Normal value",5.86,
"2017-06-30","","Normal value",5.76,
"2017-07-31","","Normal value",5.33,
"2017-08-31","","Normal value",5.55,
"2017-09-30","","Normal value",5.56,
"2017-10-31","","Normal value",5.59,
"2017-11-30","","Normal value",5.22,
"2017-12-31","","Normal value",4.44,
"2018-01-31","","Normal value",3.79,
"2018-02-28","","Normal value",4.14,
"2018-03-31","","Normal value",4.27,
"2018-04-30","","Normal value",4.04,
"2018-05-31","","Normal value",4.29,
"2018-06-30","","Normal value",4.39,
"2018-07-31","","Normal value",3.88,
"2018-08-31","","Normal value",4.18,
"2018-09-30","","Normal value",4.17,
"2018-10-31","","Normal value",4.37,
"2018-11-30","","Normal value",4.42,
"2018-12-31","","Normal value",4.28,
"2019-01-31","","Normal value",4.21,
"2019-02-28","","Normal value",3.84,
"2019-03-31","","Normal value",3.76,
"2019-04-30","","Normal value",3.42,
"2019-05-31","","Normal value",3.37,
"2019-06-30","","Normal value",2.67,
"2019-07-31","","Normal value",2.16,
"2019-08-31","","Normal value",1.98,
"2019-09-30","","Normal value",1.5,
"2019-10-31","","Normal value",1.34,
"2019-11-30","","Normal value",1.36,
"2019-12-31","","Normal value",1.42,
"2020-01-31","","Normal value",1.34,
"2020-02-29","","Normal value",1.07,
"2020-03-31","","Normal value",1.97,
"2020-04-30","","Normal value",2.05,
"2020-05-31","","Normal value",1.93,
"2020-06-30","","Normal value",1.32,
"2020-07-31","","Normal value",1.14,
"2020-08-31","","Normal value",1.08,
"2020-09-30","","Normal value",1.08,
"2020-10-31","","Normal value",0.9,
"2020-11-30","","Normal value",0.75,
"2020-12-31","","Normal value",0.63,
"2021-01-31","","Normal value",0.65,
"2021-02-28","","Normal value",0.81,
"2021-03-31","","Normal value",0.91,
"2021-04-30","","Normal value",0.88,
"2021-05-31","","Normal value",0.99,
"2021-06-30","","Normal value",0.81,
"2021-07-31","","Normal value",0.7,
"2021-08-31","","Normal value",0.59,
"2021-09-30","","Normal value",0.8,
"2021-10-31","","Normal value",0.96,
"2021-11-30","","Normal value",1.22,
"2021-12-31","","Normal value",1.29,
"2022-01-31","","Normal value",1.62,
"2022-02-28","","Normal value",2.46,
"2022-03-31","","Normal value",2.61,
"2022-04-30","","Normal value",2.89,
"2022-05-31","","Normal value",3.54,
"2022-06-30","","Normal value",3.93,
"2022-07-31","","Normal value",3.38,
"2022-08-31","","Normal value",3.46,
"2022-09-30","","Normal value",4.44,
"2022-10-31","","Normal value",4.87,
"2022-11-30","","Normal value",4.42,
"2022-12-31","","Normal value",4.22,
"2023-01-31","","Normal value",4.29,
"2023-02-28","","Normal value",4.26,
"2023-03-31","","Normal value",4.29,
"2023-04-30","","Normal value",4.22,
