"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","1,152.80","1,153.74","1,156.05","1,145.78","","-0.08%"
"12/29/2022","1,153.74","1,132.47","1,153.74","1,132.01","","1.94%"
"12/28/2022","1,131.79","1,157.29","1,157.29","1,131.79","","-2.24%"
"12/27/2022","1,157.67","1,147.14","1,158.27","1,125.33","","1.50%"
"12/23/2022","1,140.61","1,147.82","1,147.82","1,127.49","","0.99%"
"12/22/2022","1,129.42","1,161.36","1,162.42","1,129.42","","-2.60%"
"12/21/2022","1,159.54","1,154.96","1,161.75","1,154.96","","0.57%"
"12/20/2022","1,152.95","1,154.69","1,160.75","1,152.15","","-0.15%"
"12/19/2022","1,154.69","1,163.28","1,163.51","1,153.98","","-0.57%"
"12/16/2022","1,161.29","1,159.23","1,161.81","1,153.96","","0.47%"
"12/15/2022","1,155.81","1,156.49","1,166.13","1,155.81","","-0.08%"
"12/14/2022","1,156.76","1,150.98","1,176.75","1,149.46","","0.50%"
"12/13/2022","1,150.98","1,153.07","1,163.34","1,144.96","","-0.18%"
"12/12/2022","1,153.07","1,132.13","1,164.20","1,132.13","","1.89%"
"12/09/2022","1,131.69","1,134.70","1,149.70","1,130.25","","-0.26%"
"12/08/2022","1,134.61","1,137.32","1,137.32","1,130.50","","-0.22%"
"12/07/2022","1,137.09","1,125.68","1,143.77","1,125.39","","0.60%"
"12/06/2022","1,130.35","1,119.86","1,131.62","1,119.31","","0.95%"
"12/05/2022","1,119.76","1,115.14","1,119.78","1,112.70","","0.38%"
"12/02/2022","1,115.47","1,113.28","1,120.70","1,108.27","","0.16%"
"12/01/2022","1,113.65","1,113.36","1,119.04","1,106.10","","-0.14%"
"11/30/2022","1,115.21","1,109.89","1,115.43","1,109.89","","0.56%"
"11/29/2022","1,108.98","1,111.68","1,111.68","1,102.76","","-0.24%"
"11/28/2022","1,111.68","1,099.31","1,111.68","1,099.31","","0.16%"
"11/25/2022","1,109.92","1,112.60","1,114.44","1,095.60","","-0.22%"
"11/24/2022","1,112.38","1,112.28","1,112.38","1,110.20","","0.09%"
"11/23/2022","1,111.38","1,109.83","1,114.73","1,108.78","","0.16%"
"11/22/2022","1,109.61","1,108.11","1,110.11","1,104.12","","0.03%"
"11/21/2022","1,109.23","1,106.45","1,109.88","1,106.27","","0.24%"
"11/17/2022","1,106.55","1,106.12","1,107.82","1,103.94","","0.21%"
"11/16/2022","1,104.26","1,105.74","1,106.21","1,101.44","","-0.25%"
"11/15/2022","1,107.02","1,102.19","1,107.02","1,101.20","","0.30%"
"11/14/2022","1,103.73","1,109.08","1,109.48","1,103.36","","-0.18%"
"11/11/2022","1,105.74","1,112.10","1,113.66","1,104.52","","-0.58%"
"11/10/2022","1,112.17","1,097.91","1,114.16","1,096.43","","0.68%"
"11/09/2022","1,104.66","1,103.28","1,105.00","1,101.60","","1.37%"
"11/08/2022","1,089.77","1,083.55","1,100.28","1,083.32","","-0.33%"
"11/07/2022","1,093.42","1,087.55","1,100.70","1,080.87","","-0.52%"
"11/04/2022","1,099.15","1,104.64","1,105.30","1,093.64","","-0.50%"
"11/03/2022","1,104.64","1,095.33","1,105.99","1,095.33","","1.06%"
"11/02/2022","1,093.02","1,084.24","1,093.02","1,073.38","","0.74%"
"11/01/2022","1,085.03","1,063.90","1,085.51","1,063.90","","2.17%"
"10/31/2022","1,062.00","1,062.85","1,063.53","1,056.87","","-0.03%"
"10/28/2022","1,062.31","1,067.64","1,067.64","1,062.12","","-0.50%"
"10/27/2022","1,067.64","1,067.96","1,069.56","1,066.18","","0.01%"
"10/26/2022","1,067.51","1,066.50","1,072.08","1,066.50","","0.00%"
"10/25/2022","1,067.48","1,064.18","1,067.48","1,058.36","","0.17%"
"10/24/2022","1,065.62","1,064.32","1,066.80","1,063.80","","0.12%"
"10/21/2022","1,064.32","1,063.30","1,067.31","1,063.30","","0.09%"
"10/20/2022","1,063.41","1,066.21","1,068.51","1,063.41","","-0.35%"
"10/19/2022","1,067.12","1,068.45","1,068.82","1,064.85","","-0.07%"
"10/18/2022","1,067.90","1,069.77","1,077.23","1,066.92","","0.22%"
"10/17/2022","1,065.58","1,069.40","1,072.39","1,065.58","","-2.01%"
"10/14/2022","1,087.46","1,081.14","1,089.89","1,081.14","","1.04%"
"10/13/2022","1,076.25","1,079.75","1,087.39","1,071.06","","-0.37%"
"10/12/2022","1,080.25","1,081.11","1,084.66","1,050.22","","-0.05%"
"10/11/2022","1,080.84","1,083.09","1,092.44","1,074.11","","0.53%"
"10/10/2022","1,075.12","1,090.39","1,093.33","1,074.81","","-1.38%"
"10/07/2022","1,090.17","1,069.96","1,090.98","1,068.85","","1.89%"
"10/06/2022","1,069.96","1,058.86","1,089.99","1,058.64","","0.29%"
"10/05/2022","1,066.86","1,059.30","1,067.37","1,058.71","","0.78%"
"10/04/2022","1,058.64","1,061.76","1,069.02","1,058.64","","-0.38%"
"10/03/2022","1,062.70","1,067.07","1,067.38","1,062.51","","-0.32%"
"09/30/2022","1,066.16","1,077.69","1,084.71","1,064.39","","1.04%"
"09/29/2022","1,055.21","1,051.02","1,081.89","1,051.02","","0.40%"
"09/28/2022","1,051.02","1,083.71","1,083.80","1,051.02","","-3.02%"
"09/27/2022","1,083.76","1,083.81","1,086.67","1,080.23","","0.00%"
"09/26/2022","1,083.81","1,043.76","1,088.10","1,043.76","","-0.24%"
"09/23/2022","1,086.41","1,102.00","1,102.00","1,085.77","","-1.36%"
"09/22/2022","1,101.42","1,094.75","1,101.42","1,086.78","","0.49%"
"09/21/2022","1,096.09","1,095.25","1,102.07","1,090.86","","0.04%"
"09/20/2022","1,095.61","1,098.31","1,101.25","1,094.06","","-0.32%"
"09/19/2022","1,099.09","1,111.50","1,111.50","1,099.09","","-1.51%"
"09/16/2022","1,115.91","1,115.04","1,119.32","1,112.99","","-0.06%"
"09/15/2022","1,116.56","1,120.73","1,121.78","1,112.01","","-0.33%"
"09/14/2022","1,120.23","1,119.43","1,120.60","1,118.11","","0.11%"
"09/13/2022","1,118.96","1,111.59","1,119.04","1,110.62","","0.65%"
"09/12/2022","1,111.74","1,100.68","1,114.20","1,100.68","","1.01%"
"09/09/2022","1,100.61","1,110.68","1,111.32","1,100.61","","-0.89%"
"09/08/2022","1,110.46","1,110.41","1,114.65","1,109.12","","0.06%"
"09/07/2022","1,109.74","1,106.61","1,111.03","1,095.35","","0.18%"
"09/06/2022","1,107.73","1,106.01","1,112.24","1,100.45","","0.22%"
"09/05/2022","1,105.28","1,095.62","1,116.98","1,094.49","","-1.45%"
"09/02/2022","1,121.54","1,115.90","1,125.09","1,093.36","","0.05%"
"09/01/2022","1,120.97","1,103.99","1,124.01","1,103.99","","3.03%"
"08/31/2022","1,087.99","1,099.11","1,109.49","1,048.47","","-2.71%"
"08/30/2022","1,118.28","1,131.34","1,132.22","1,097.80","","-0.53%"
"08/29/2022","1,124.20","1,132.14","1,134.98","1,104.45","","-0.79%"
"08/26/2022","1,133.10","1,133.98","1,135.54","1,123.41","","0.06%"
"08/25/2022","1,132.47","1,136.19","1,137.27","1,118.61","","-0.33%"
"08/24/2022","1,136.19","1,129.23","1,136.19","1,126.10","","0.71%"
"08/23/2022","1,128.21","1,123.50","1,129.04","1,120.73","","0.31%"
"08/22/2022","1,124.75","1,140.57","1,140.98","1,117.94","","-1.82%"
"08/19/2022","1,145.57","1,146.21","1,146.96","1,135.68","","-0.06%"
"08/18/2022","1,146.21","1,145.27","1,147.46","1,142.86","","1.04%"
"08/17/2022","1,134.40","1,143.53","1,145.46","1,134.40","","0.25%"
"08/16/2022","1,131.53","1,134.68","1,143.42","1,131.53","","-1.18%"
"08/15/2022","1,145.04","1,133.31","1,146.50","1,129.89","","0.80%"
"08/12/2022","1,135.98","1,146.41","1,148.00","1,135.60","","-0.73%"
"08/11/2022","1,144.34","1,156.35","1,156.35","1,142.69","","0.25%"
"08/10/2022","1,141.44","1,146.20","1,158.40","1,139.49","","-0.21%"
"08/09/2022","1,143.85","1,153.86","1,154.73","1,143.85","","-0.04%"
"08/08/2022","1,144.28","1,137.07","1,146.64","1,128.97","","0.81%"
"08/05/2022","1,135.09","1,131.30","1,139.07","1,130.43","","0.25%"
"08/04/2022","1,132.28","1,125.54","1,138.01","1,125.54","","0.52%"
"08/03/2022","1,126.44","1,131.63","1,132.75","1,119.97","","-0.38%"
"08/02/2022","1,130.70","1,127.67","1,131.15","1,121.50","","0.26%"
"08/01/2022","1,127.81","1,118.24","1,127.81","1,116.09","","-1.02%"
"07/29/2022","1,139.48","1,117.65","1,139.77","1,115.19","","0.41%"
"07/28/2022","1,134.78","1,141.33","1,144.08","1,129.31","","-0.57%"
"07/27/2022","1,141.33","1,155.07","1,155.07","1,130.87","","-1.17%"
"07/26/2022","1,154.90","1,152.55","1,159.82","1,147.19","","0.36%"
"07/25/2022","1,150.79","1,130.38","1,153.97","1,129.33","","0.82%"
"07/22/2022","1,141.47","1,143.94","1,150.83","1,135.51","","-0.14%"
"07/21/2022","1,143.06","1,137.60","1,145.95","1,136.53","","0.81%"
"07/20/2022","1,133.89","1,124.70","1,133.89","1,119.96","","0.71%"
"07/19/2022","1,125.93","1,120.72","1,126.32","1,115.71","","0.66%"
"07/18/2022","1,118.59","1,115.42","1,120.20","1,113.89","","-0.16%"
"07/15/2022","1,120.37","1,120.31","1,130.77","1,109.13","","-0.21%"
"07/14/2022","1,122.73","1,129.82","1,132.59","1,122.73","","-0.51%"
"07/13/2022","1,128.54","1,143.36","1,145.14","1,127.79","","-0.51%"
"07/12/2022","1,134.31","1,158.17","1,159.34","1,133.65","","-2.07%"
"07/11/2022","1,158.26","1,155.04","1,159.87","1,154.06","","0.03%"
"07/08/2022","1,157.95","1,135.81","1,157.95","1,135.81","","2.73%"
"07/07/2022","1,127.21","1,136.29","1,137.47","1,116.64","","-0.78%"
"07/06/2022","1,136.05","1,139.07","1,143.93","1,119.20","","-0.27%"
"07/05/2022","1,139.07","1,126.71","1,139.20","1,126.71","","1.16%"
"07/04/2022","1,126.03","1,137.46","1,141.34","1,122.89","","-1.29%"
"07/01/2022","1,140.79","1,134.99","1,142.79","1,134.59","","0.72%"
"06/30/2022","1,132.58","1,129.71","1,132.58","1,123.52","","0.36%"
"06/29/2022","1,128.49","1,131.99","1,132.26","1,122.18","","-0.13%"
"06/28/2022","1,129.98","1,112.68","1,132.40","1,101.06","","1.59%"
"06/27/2022","1,112.29","1,112.24","1,112.29","1,110.99","","-0.05%"
"06/22/2022","1,112.81","1,123.21","1,131.27","1,112.81","","-0.93%"
"06/21/2022","1,123.21","1,129.71","1,130.36","1,122.97","","-0.51%"
"06/20/2022","1,128.98","1,127.84","1,130.24","1,124.49","","0.94%"
"06/17/2022","1,118.52","1,121.48","1,121.89","1,105.80","","-0.19%"
"06/16/2022","1,120.60","1,120.91","1,123.39","1,119.25","","0.20%"
"06/15/2022","1,118.41","1,118.51","1,120.60","1,115.28","","0.15%"
"06/14/2022","1,116.78","1,130.08","1,130.08","1,114.70","","-1.17%"
"06/13/2022","1,129.97","1,132.69","1,140.14","1,127.65","","-0.35%"
"06/10/2022","1,133.95","1,135.17","1,138.35","1,133.01","","-0.11%"
"06/09/2022","1,135.22","1,124.26","1,136.70","1,124.01","","1.06%"
"06/08/2022","1,123.34","1,107.29","1,129.20","1,107.29","","1.31%"
"06/07/2022","1,108.86","1,086.81","1,123.06","1,085.76","","1.95%"
"06/06/2022","1,087.68","1,092.15","1,095.38","1,087.68","","-0.54%"
"06/03/2022","1,093.61","1,093.71","1,105.08","1,067.12","","-0.03%"
"06/02/2022","1,093.96","1,055.42","1,102.27","1,055.42","","3.46%"
"06/01/2022","1,057.38","1,057.30","1,058.81","1,054.78","","0.07%"
"05/31/2022","1,056.59","1,059.00","1,059.51","1,052.13","","-0.84%"
"05/30/2022","1,065.54","1,048.41","1,065.54","1,043.70","","2.19%"
"05/27/2022","1,042.66","1,035.67","1,043.24","1,035.40","","1.52%"
"05/25/2022","1,027.09","1,025.95","1,034.44","1,020.87","","-0.01%"
"05/24/2022","1,027.18","1,022.97","1,031.60","1,021.92","","0.44%"
"05/23/2022","1,022.73","1,033.79","1,033.79","1,017.89","","-1.00%"
"05/20/2022","1,033.04","1,019.74","1,039.52","1,019.74","","1.14%"
"05/19/2022","1,021.41","1,028.00","1,038.60","1,021.41","","-0.74%"
"05/18/2022","1,029.03","1,042.34","1,043.02","1,029.03","","-1.49%"
"05/17/2022","1,044.58","1,045.96","1,046.60","1,030.73","","-0.10%"
"05/16/2022","1,045.63","1,050.86","1,051.13","1,030.09","","-0.40%"
"05/13/2022","1,049.81","1,051.69","1,055.24","1,025.24","","0.08%"
"05/12/2022","1,048.95","1,024.93","1,052.89","1,024.93","","1.46%"
"05/11/2022","1,033.83","1,053.19","1,053.19","1,023.63","","-1.79%"
"05/10/2022","1,052.70","1,016.97","1,056.68","1,011.85","","3.51%"
"05/09/2022","1,016.97","1,061.94","1,066.29","1,010.15","","-3.40%"
"05/06/2022","1,052.78","1,021.42","1,064.29","1,014.62","","2.96%"
"05/05/2022","1,022.55","979.63","1,066.26","973.77","","5.00%"
"05/03/2022","973.89","946.19","973.89","945.38","","3.23%"
"05/02/2022","943.46","943.65","945.37","936.48","","-0.70%"
"04/29/2022","950.13","958.09","959.30","945.00","","-0.83%"
"04/28/2022","958.09","1,002.35","1,002.35","937.18","","-4.46%"
"04/27/2022","1,002.85","1,020.99","1,021.48","998.57","","-1.84%"
"04/26/2022","1,021.64","1,024.13","1,024.62","1,017.83","","-0.63%"
"04/25/2022","1,028.09","1,022.31","1,028.17","1,012.15","","0.56%"
"04/22/2022","1,022.41","1,026.81","1,026.81","1,013.24","","-1.39%"
"04/21/2022","1,036.82","1,018.88","1,040.99","1,012.45","","1.80%"
"04/20/2022","1,018.50","1,042.43","1,043.34","1,012.00","","-2.97%"
"04/19/2022","1,049.65","1,072.04","1,072.04","1,043.02","","-2.51%"
"04/14/2022","1,076.67","1,064.55","1,089.30","1,057.36","","0.62%"
"04/13/2022","1,070.03","1,099.15","1,099.15","1,066.18","","-2.05%"
"04/12/2022","1,092.44","1,092.35","1,101.86","1,085.21","","-0.10%"
"04/11/2022","1,093.57","1,086.16","1,104.20","1,086.15","","-1.75%"
"04/08/2022","1,113.03","1,113.75","1,122.27","1,101.58","","-0.12%"
"04/07/2022","1,114.40","1,131.14","1,144.15","1,059.85","","-1.55%"
"04/06/2022","1,131.94","1,138.31","1,145.56","1,128.26","","-0.75%"
"04/05/2022","1,140.50","1,140.97","1,150.90","1,130.44","","-0.04%"
"04/04/2022","1,141.00","1,143.46","1,153.85","1,141.00","","0.63%"
"04/01/2022","1,133.90","1,140.68","1,140.68","1,119.73","","-0.57%"
"03/31/2022","1,140.43","1,149.87","1,149.87","1,116.87","","-0.81%"
"03/30/2022","1,149.72","1,130.41","1,151.12","1,130.41","","1.73%"
"03/29/2022","1,130.18","1,131.88","1,138.15","1,129.13","","-0.15%"
"03/28/2022","1,131.90","1,137.13","1,137.86","1,130.99","","-0.45%"
"03/25/2022","1,136.97","1,136.07","1,147.20","1,133.85","","-1.11%"
"03/24/2022","1,149.71","1,136.11","1,153.12","1,134.74","","0.99%"
"03/23/2022","1,138.39","1,135.62","1,139.09","1,135.02","","-0.64%"
"03/22/2022","1,145.76","1,143.36","1,155.07","1,134.92","","0.17%"
"03/21/2022","1,143.80","1,135.21","1,145.15","1,135.21","","0.40%"
"03/18/2022","1,139.24","1,147.23","1,147.31","1,119.63","","-0.58%"
"03/17/2022","1,145.94","1,125.50","1,146.34","1,118.73","","1.37%"
"03/16/2022","1,130.50","1,139.90","1,152.53","1,124.85","","-0.51%"
"03/15/2022","1,136.27","1,123.11","1,138.16","1,118.89","","1.17%"
"03/14/2022","1,123.11","1,093.90","1,123.11","1,093.17","","-1.00%"
"03/11/2022","1,134.48","1,154.49","1,156.14","1,059.62","","-1.73%"
"03/10/2022","1,154.42","1,150.96","1,164.17","1,143.72","","2.92%"
"03/09/2022","1,121.64","1,079.46","1,142.65","1,079.46","","2.81%"
"03/08/2022","1,091.03","1,034.57","1,140.17","1,034.57","","7.98%"
"03/07/2022","1,010.39","1,006.88","1,154.40","998.09","","-6.92%"
"03/04/2022","1,085.46","1,100.48","1,100.48","1,080.31","","-1.17%"
"03/03/2022","1,098.33","1,112.98","1,117.21","1,097.54","","-1.92%"
"03/02/2022","1,119.81","1,125.96","1,153.65","1,083.46","","-4.28%"
"03/01/2022","1,169.85","1,202.17","1,206.28","1,169.83","","-2.37%"
"02/28/2022","1,198.22","1,215.30","1,228.75","1,197.73","","-2.43%"
"02/25/2022","1,228.03","1,191.63","1,228.03","1,191.63","","1.52%"
"02/24/2022","1,209.59","1,243.50","1,243.50","1,208.79","","-4.12%"
"02/23/2022","1,261.52","1,254.26","1,262.08","1,253.24","","0.58%"
"02/22/2022","1,254.26","1,254.15","1,263.32","1,248.22","","-0.07%"
"02/21/2022","1,255.20","1,259.59","1,260.66","1,249.69","","-0.66%"
"02/18/2022","1,263.54","1,262.27","1,263.54","1,255.50","","0.14%"
"02/17/2022","1,261.78","1,261.43","1,264.11","1,253.83","","-0.30%"
"02/16/2022","1,265.52","1,258.16","1,267.56","1,257.92","","0.54%"
"02/15/2022","1,258.73","1,254.63","1,265.54","1,254.63","","-0.56%"
"02/14/2022","1,265.78","1,270.35","1,270.35","1,253.12","","-0.49%"
"02/11/2022","1,271.98","1,266.65","1,273.71","1,262.50","","0.82%"
"02/10/2022","1,261.58","1,270.91","1,275.30","1,261.58","","-0.30%"
"02/09/2022","1,265.39","1,266.39","1,267.06","1,256.38","","-0.09%"
"02/08/2022","1,266.48","1,271.55","1,271.55","1,251.60","","0.11%"
"02/07/2022","1,265.07","1,271.03","1,271.03","1,260.72","","-0.47%"
"02/04/2022","1,271.03","1,266.77","1,271.03","1,264.78","","-0.03%"
"02/03/2022","1,271.36","1,260.95","1,272.36","1,260.15","","0.82%"
"02/02/2022","1,261.05","1,266.92","1,267.16","1,246.40","","-0.46%"
"02/01/2022","1,266.92","1,260.74","1,270.40","1,253.64","","0.39%"
"01/31/2022","1,261.96","1,263.79","1,271.99","1,256.93","","0.27%"
"01/28/2022","1,258.53","1,263.74","1,265.02","1,257.14","","0.12%"
"01/27/2022","1,256.98","1,260.35","1,265.66","1,256.45","","-0.79%"
"01/26/2022","1,267.02","1,246.70","1,267.97","1,245.14","","1.65%"
"01/25/2022","1,246.45","1,242.38","1,256.30","1,241.65","","0.24%"
"01/24/2022","1,243.48","1,269.46","1,270.20","1,239.36","","-2.03%"
"01/21/2022","1,269.30","1,272.10","1,273.29","1,262.24","","-0.23%"
"01/20/2022","1,272.19","1,286.16","1,286.87","1,271.39","","-1.06%"
"01/19/2022","1,285.76","1,274.34","1,288.66","1,272.44","","0.87%"
"01/18/2022","1,274.67","1,278.42","1,282.56","1,272.47","","-0.46%"
"01/17/2022","1,280.61","1,286.50","1,286.78","1,279.81","","-0.46%"
"01/14/2022","1,286.52","1,287.36","1,295.31","1,285.80","","-0.07%"
"01/13/2022","1,287.45","1,305.46","1,307.08","1,286.69","","-1.40%"
"01/12/2022","1,305.79","1,302.18","1,313.25","1,301.78","","0.10%"
"01/11/2022","1,304.50","1,306.30","1,306.30","1,275.68","","-0.03%"
"01/10/2022","1,304.84","1,269.21","1,304.95","1,269.21","","2.45%"
"01/07/2022","1,273.61","1,273.07","1,283.65","1,270.38","","-0.02%"
"01/06/2022","1,273.89","1,280.65","1,282.75","1,272.76","","-0.12%"
"01/05/2022","1,275.43","1,280.70","1,285.91","1,272.28","","-0.40%"
"01/04/2022","1,280.51","1,264.16","1,280.75","1,264.16","","1.38%"
"01/03/2022","1,263.12","1,268.36","1,276.31","1,263.01","","-0.87%"
"12/30/2021","1,274.20","1,271.37","1,275.19","1,259.28","","0.22%"
"12/29/2021","1,271.37","1,262.83","1,272.91","1,262.61","","0.71%"
"12/28/2021","1,262.44","1,264.91","1,266.62","1,253.37","","-0.35%"
"12/27/2021","1,266.93","1,244.38","1,266.93","1,244.38","","1.40%"
"12/23/2021","1,249.45","1,274.58","1,274.83","1,237.77","","-1.45%"
"12/22/2021","1,267.77","1,270.17","1,274.16","1,252.91","","-0.28%"
"12/21/2021","1,271.39","1,272.19","1,274.62","1,264.94","","-0.03%"
"12/20/2021","1,271.80","1,280.38","1,280.41","1,269.43","","-0.12%"
"12/17/2021","1,273.36","1,268.64","1,282.51","1,264.95","","0.51%"
"12/16/2021","1,266.95","1,276.77","1,278.50","1,260.19","","-0.75%"
"12/15/2021","1,276.57","1,265.71","1,277.41","1,263.16","","0.01%"
"12/14/2021","1,276.44","1,276.07","1,281.56","1,275.11","","-0.05%"
"12/13/2021","1,277.08","1,285.33","1,287.51","1,275.64","","-0.36%"
"12/10/2021","1,281.64","1,287.80","1,287.98","1,279.73","","0.90%"
"12/09/2021","1,270.21","1,276.23","1,289.60","1,268.65","","-1.28%"
"12/08/2021","1,286.62","1,263.60","1,286.62","1,263.02","","1.30%"
"12/07/2021","1,270.17","1,257.84","1,270.17","1,257.84","","-0.02%"
"12/06/2021","1,270.39","1,268.90","1,275.29","1,268.53","","0.06%"
"12/03/2021","1,269.58","1,270.07","1,272.12","1,268.66","","0.07%"
"12/02/2021","1,268.74","1,269.61","1,269.89","1,268.57","","-0.04%"
"12/01/2021","1,269.30","1,265.25","1,269.30","1,265.25","","0.34%"
"11/30/2021","1,264.97","1,255.70","1,265.65","1,250.78","","0.82%"
"11/29/2021","1,254.69","1,271.78","1,276.56","1,254.69","","-1.37%"
"11/26/2021","1,272.16","1,271.19","1,274.15","1,261.46","","-0.12%"
"11/25/2021","1,273.68","1,276.80","1,281.25","1,272.39","","-0.50%"
"11/24/2021","1,280.09","1,285.48","1,285.48","1,273.94","","-0.15%"
"11/23/2021","1,281.97","1,263.06","1,287.59","1,261.40","","1.11%"
"11/22/2021","1,267.87","1,265.17","1,272.50","1,263.44","","0.16%"
"11/17/2021","1,265.90","1,272.14","1,273.10","1,261.14","","-0.55%"
"11/16/2021","1,272.87","1,271.93","1,274.51","1,266.73","","0.02%"
"11/15/2021","1,272.56","1,281.00","1,288.07","1,272.36","","-0.67%"
"11/12/2021","1,281.19","1,284.24","1,285.01","1,273.85","","-0.27%"
"11/11/2021","1,284.71","1,280.51","1,285.10","1,273.84","","0.25%"
"11/10/2021","1,281.52","1,282.41","1,283.79","1,275.68","","-0.10%"
"11/09/2021","1,282.81","1,289.64","1,289.83","1,281.92","","-1.23%"
"11/08/2021","1,298.79","1,296.03","1,301.31","1,283.47","","0.66%"
"11/05/2021","1,290.28","1,299.86","1,300.85","1,289.74","","-0.74%"
"11/04/2021","1,299.86","1,293.83","1,301.15","1,292.48","","0.49%"
"11/03/2021","1,293.51","1,302.57","1,304.83","1,292.26","","-0.70%"
"11/02/2021","1,302.57","1,300.53","1,302.98","1,290.87","","0.14%"
"11/01/2021","1,300.79","1,294.50","1,302.38","1,292.87","","0.24%"
"10/29/2021","1,297.62","1,290.87","1,298.92","1,287.06","","0.42%"
"10/28/2021","1,292.14","1,295.15","1,297.86","1,289.11","","-0.23%"
"10/27/2021","1,295.09","1,291.17","1,296.09","1,290.54","","0.26%"
"10/26/2021","1,291.73","1,290.21","1,292.26","1,284.57","","0.13%"
"10/25/2021","1,290.09","1,293.29","1,301.96","1,286.45","","-0.23%"
"10/22/2021","1,293.04","1,285.17","1,295.09","1,283.78","","0.69%"
"10/21/2021","1,284.12","1,288.36","1,289.87","1,281.11","","-0.51%"
"10/20/2021","1,290.68","1,289.78","1,293.88","1,282.83","","-0.04%"
"10/19/2021","1,291.16","1,291.50","1,291.92","1,283.29","","-0.01%"
"10/18/2021","1,291.26","1,291.54","1,291.54","1,282.92","","0.41%"
"10/15/2021","1,285.94","1,283.84","1,294.81","1,276.67","","0.05%"
"10/14/2021","1,285.26","1,269.45","1,285.26","1,268.07","","1.14%"
